frequency_thz,vdos
0.000000000000e+00,0.000000000000e+00
2.441406250000e-01,6.938473105048e+02
4.882812500000e-01,7.712499094826e+02
7.324218750000e-01,8.978372373519e+02
9.765625000000e-01,1.480394680225e+03
1.220703125000e+00,1.490485571649e+03
1.464843750000e+00,2.245574863699e+03
1.708984375000e+00,3.241913341682e+03
1.953125000000e+00,5.198369734667e+03
2.197265625000e+00,7.130377035183e+03
2.441406250000e+00,3.101378518223e+04
2.685546875000e+00,9.512826055660e+04
2.929687500000e+00,1.336202477503e+04
3.173828125000e+00,1.178026560954e+04
3.417968750000e+00,3.434324856879e+04
3.662109375000e+00,1.509178240388e+05
3.906250000000e+00,4.161449959707e+04
4.150390625000e+00,2.497441669108e+04
4.394531250000e+00,8.110383622695e+04
4.638671875000e+00,7.885574623977e+04
4.882812500000e+00,3.144406338427e+04
5.126953125000e+00,8.135361333995e+04
5.371093750000e+00,1.594470183306e+05
5.615234375000e+00,1.752736998688e+05
5.859375000000e+00,6.860282767128e+04
6.103515625000e+00,2.637941568553e+04
6.347656250000e+00,4.032602289439e+04
6.591796875000e+00,4.765430698713e+04
6.835937500000e+00,4.959260082854e+04
7.080078125000e+00,6.046256937267e+04
7.324218750000e+00,1.003708341725e+05
7.568359375000e+00,3.996164522422e+04
7.812500000000e+00,3.328564531621e+04
8.056640625000e+00,1.845907512231e+04
8.300781250000e+00,2.009587783620e+04
8.544921875000e+00,7.810838003502e+03
8.789062500000e+00,5.061464083415e+03
9.033203125000e+00,5.156518909322e+03
9.277343750000e+00,5.408357435502e+03
9.521484375000e+00,3.368961059420e+03
9.765625000000e+00,2.442818694475e+03
1.000976562500e+01,3.584690433651e+03
1.025390625000e+01,2.411474815748e+03
1.049804687500e+01,1.824730059081e+03
1.074218750000e+01,1.941239744449e+03
1.098632812500e+01,2.414532612252e+03
1.123046875000e+01,1.996040635525e+03
1.147460937500e+01,1.380931198393e+03
1.171875000000e+01,9.167190398722e+02
1.196289062500e+01,1.091243888356e+03
1.220703125000e+01,7.781552275812e+02
1.245117187500e+01,7.127909158451e+02
1.269531250000e+01,1.014427831832e+03
