frequency_thz,vdos
0.000000000000e+00,0.000000000000e+00
2.441406250000e-01,5.538294197733e+02
4.882812500000e-01,6.142246051228e+02
7.324218750000e-01,8.463831947015e+02
9.765625000000e-01,1.146996624399e+03
1.220703125000e+00,1.486734573159e+03
1.464843750000e+00,1.870003616612e+03
1.708984375000e+00,2.860656196627e+03
1.953125000000e+00,4.201770666883e+03
2.197265625000e+00,8.851504221678e+03
2.441406250000e+00,2.619848930700e+04
2.685546875000e+00,7.888659345406e+04
2.929687500000e+00,1.490827699481e+04
3.173828125000e+00,1.467904841946e+04
3.417968750000e+00,3.494791612344e+04
3.662109375000e+00,1.484497838219e+05
3.906250000000e+00,4.496972427427e+04
4.150390625000e+00,1.879643405619e+04
4.394531250000e+00,8.854645133732e+04
4.638671875000e+00,6.331464105550e+04
4.882812500000e+00,2.199721877631e+04
5.126953125000e+00,7.197519781012e+04
5.371093750000e+00,1.663500804718e+05
5.615234375000e+00,2.159960397685e+05
5.859375000000e+00,6.820602407739e+04
6.103515625000e+00,2.714102431394e+04
6.347656250000e+00,4.082847305273e+04
6.591796875000e+00,6.258254791333e+04
6.835937500000e+00,5.537453789968e+04
7.080078125000e+00,4.666203957799e+04
7.324218750000e+00,9.861639594076e+04
7.568359375000e+00,3.464353135488e+04
7.812500000000e+00,2.840010888728e+04
8.056640625000e+00,2.813864815180e+04
8.300781250000e+00,2.050478575006e+04
8.544921875000e+00,7.625716807382e+03
8.789062500000e+00,5.379494475446e+03
9.033203125000e+00,5.436850708372e+03
9.277343750000e+00,7.020945688069e+03
9.521484375000e+00,3.661826492007e+03
9.765625000000e+00,2.127358354680e+03
1.000976562500e+01,3.727225103470e+03
1.025390625000e+01,2.682952013017e+03
1.049804687500e+01,1.468572525421e+03
1.074218750000e+01,1.921054638709e+03
1.098632812500e+01,2.653284477881e+03
1.123046875000e+01,2.318170172024e+03
1.147460937500e+01,1.443825903016e+03
1.171875000000e+01,9.668052689640e+02
