frequency_thz,vdos
0.000000000000e+00,0.000000000000e+00
2.441406250000e-01,4.244837652736e+02
4.882812500000e-01,4.753817602825e+02
7.324218750000e-01,6.628791292361e+02
9.765625000000e-01,1.220145804863e+03
1.220703125000e+00,1.192152933109e+03
1.464843750000e+00,1.420371326796e+03
1.708984375000e+00,2.825697097923e+03
1.953125000000e+00,4.218012241754e+03
2.197265625000e+00,5.632833790475e+03
2.441406250000e+00,2.522976566412e+04
2.685546875000e+00,7.612186414207e+04
2.929687500000e+00,1.117280820085e+04
3.173828125000e+00,1.076768700294e+04
3.417968750000e+00,3.627050248468e+04
3.662109375000e+00,1.708450661022e+05
3.906250000000e+00,3.129153826429e+04
4.150390625000e+00,2.406382425488e+04
4.394531250000e+00,1.297738504702e+05
4.638671875000e+00,6.580623433374e+04
4.882812500000e+00,2.008178250519e+04
5.126953125000e+00,3.588768750182e+04
5.371093750000e+00,1.672027491978e+05
5.615234375000e+00,1.643372666736e+05
5.859375000000e+00,3.372095223753e+04
6.103515625000e+00,2.211426276566e+04
6.347656250000e+00,3.803456761269e+04
6.591796875000e+00,1.122939377775e+05
6.835937500000e+00,3.926383934185e+04
7.080078125000e+00,7.404701053788e+04
7.324218750000e+00,1.118242090647e+05
7.568359375000e+00,2.539961175257e+04
7.812500000000e+00,1.364199770897e+04
8.056640625000e+00,1.797119462487e+04
8.300781250000e+00,1.655023823799e+04
8.544921875000e+00,4.620350896456e+03
8.789062500000e+00,4.153895256358e+03
9.033203125000e+00,6.606261931264e+03
9.277343750000e+00,4.777795734854e+03
9.521484375000e+00,2.219829728143e+03
9.765625000000e+00,2.696703926807e+03
1.000976562500e+01,3.347755968970e+03
1.025390625000e+01,2.126544426329e+03
1.049804687500e+01,1.068602586822e+03
1.074218750000e+01,1.752413793247e+03
1.098632812500e+01,2.571214959329e+03
1.123046875000e+01,1.614096787546e+03
1.147460937500e+01,9.509089207005e+02
1.171875000000e+01,9.599280768196e+02
1.196289062500e+01,1.355871250308e+03
1.220703125000e+01,8.223897571678e+02
1.245117187500e+01,7.147090974126e+02
1.269531250000e+01,9.134237953973e+02
1.293945312500e+01,9.003474467248e+02
1.318359375000e+01,5.395762693293e+02
1.342773437500e+01,4.067693702782e+02
1.367187500000e+01,4.521392112112e+02
1.391601562500e+01,3.358458374526e+02
1.416015625000e+01,2.778870807461e+02
1.440429687500e+01,2.812737568978e+02
1.464843750000e+01,2.399448304125e+02
1.489257812500e+01,2.183315662449e+02
1.513671875000e+01,1.543557888558e+02
1.538085937500e+01,1.735451552860e+02
1.562500000000e+01,1.683899312122e+02
1.586914062500e+01,1.259531130706e+02
1.611328125000e+01,1.159086162646e+02
1.635742187500e+01,1.128304616996e+02
1.660156250000e+01,1.007551306437e+02
1.684570312500e+01,9.314759037900e+01
1.708984375000e+01,9.095594377316e+01
1.733398437500e+01,9.077464345702e+01
1.757812500000e+01,8.901548655890e+01
1.782226562500e+01,7.821164286763e+01
1.806640625000e+01,7.509727297349e+01
1.831054687500e+01,7.517492836730e+01
1.855468750000e+01,6.749898045588e+01
1.879882812500e+01,6.409330189453e+01
1.904296875000e+01,5.732445510992e+01
1.928710937500e+01,5.404847141980e+01
1.953125000000e+01,5.210040113618e+01
1.977539062500e+01,5.168314923602e+01
2.001953125000e+01,5.055984895922e+01
2.026367187500e+01,4.218620735810e+01
2.050781250000e+01,4.472662680851e+01
2.075195312500e+01,3.857120892404e+01
2.099609375000e+01,3.707477184387e+01
2.124023437500e+01,3.596590120470e+01
2.148437500000e+01,3.934145120700e+01
2.172851562500e+01,3.603317210463e+01
2.197265625000e+01,3.362337689641e+01
2.221679687500e+01,3.368525710146e+01
2.246093750000e+01,3.057604477473e+01
2.270507812500e+01,2.703961291005e+01
2.294921875000e+01,2.813702417637e+01
2.319335937500e+01,2.474349099237e+01
2.343750000000e+01,2.394929810805e+01
2.368164062500e+01,2.515770644795e+01
2.392578125000e+01,2.358219733588e+01
2.416992187500e+01,2.234889022284e+01
2.441406250000e+01,2.165599514534e+01
2.465820312500e+01,2.020553368102e+01
2.490234375000e+01,1.942725213487e+01
2.514648437500e+01,1.925788198907e+01
2.539062500000e+01,1.929245846781e+01
2.563476562500e+01,1.791587367648e+01
2.587890625000e+01,1.733298600077e+01
2.612304687500e+01,1.715836706209e+01
2.636718750000e+01,1.725395133953e+01
2.661132812500e+01,1.641931284683e+01
2.685546875000e+01,1.602545344417e+01
2.709960937500e+01,1.573369702007e+01
2.734375000000e+01,1.456976313976e+01
2.758789062500e+01,1.468339132317e+01
2.783203125000e+01,1.440914437614e+01
2.807617187500e+01,1.418010369528e+01
2.832031250000e+01,1.339719396890e+01
2.856445312500e+01,1.357609945503e+01
2.880859375000e+01,1.293669316534e+01
2.905273437500e+01,1.277473781282e+01
2.929687500000e+01,1.257967053112e+01
2.954101562500e+01,1.225202736045e+01
2.978515625000e+01,1.211918014171e+01
3.002929687500e+01,1.195989795526e+01
3.027343750000e+01,1.192902626278e+01
3.051757812500e+01,1.144503149556e+01
3.076171875000e+01,1.108544296531e+01
3.100585937500e+01,1.084777420799e+01
3.125000000000e+01,1.066475524864e+01
3.149414062500e+01,1.066599053365e+01
3.173828125000e+01,1.035408654212e+01
3.198242187500e+01,1.023331798533e+01
3.222656250000e+01,1.004780937985e+01
3.247070312500e+01,9.671601610893e+00
3.271484375000e+01,9.726229744676e+00
3.295898437500e+01,9.484295078149e+00
3.320312500000e+01,9.278714212554e+00
3.344726562500e+01,9.190876960967e+00
3.369140625000e+01,9.030898158123e+00
3.393554687500e+01,8.887737362110e+00
3.417968750000e+01,8.750560724694e+00
3.442382812500e+01,8.606107460156e+00
3.466796875000e+01,8.493444695102e+00
3.491210937500e+01,8.390423113311e+00
3.515625000000e+01,8.233844721149e+00
3.540039062500e+01,8.082340649221e+00
3.564453125000e+01,8.034900807982e+00
3.588867187500e+01,7.868391058271e+00
3.613281250000e+01,7.802530054093e+00
3.637695312500e+01,7.692287969046e+00
3.662109375000e+01,7.554118127244e+00
3.686523437500e+01,7.455005426559e+00
3.710937500000e+01,7.352006202780e+00
3.735351562500e+01,7.238999852953e+00
3.759765625000e+01,7.141396651517e+00
3.784179687500e+01,7.019764530798e+00
3.808593750000e+01,6.923580653513e+00
3.833007812500e+01,6.838140542618e+00
3.857421875000e+01,6.756059968083e+00
3.881835937500e+01,6.643043629560e+00
3.906250000000e+01,6.565049026242e+00
3.930664062500e+01,6.475473711458e+00
3.955078125000e+01,6.386147738777e+00
3.979492187500e+01,6.304201708024e+00
4.003906250000e+01,6.227716226359e+00
4.028320312500e+01,6.139732202319e+00
4.052734375000e+01,6.066760068018e+00
4.077148437500e+01,5.991037730483e+00
4.101562500000e+01,5.920808630874e+00
4.125976562500e+01,5.841253743987e+00
4.150390625000e+01,5.772453911703e+00
4.174804687500e+01,5.698516952663e+00
4.199218750000e+01,5.626722095355e+00
4.223632812500e+01,5.560085259382e+00
4.248046875000e+01,5.497180362825e+00
4.272460937500e+01,5.435234857029e+00
4.296875000000e+01,5.367388335351e+00
4.321289062500e+01,5.303988240694e+00
4.345703125000e+01,5.242085776667e+00
4.370117187500e+01,5.179403165612e+00
4.394531250000e+01,5.122060546191e+00
4.418945312500e+01,5.059645963031e+00
4.443359375000e+01,5.006323913793e+00
4.467773437500e+01,4.952181514249e+00
4.492187500000e+01,4.892506768673e+00
4.516601562500e+01,4.833263673408e+00
4.541015625000e+01,4.781468528965e+00
4.565429687500e+01,4.731173362573e+00
4.589843750000e+01,4.673421573876e+00
4.614257812500e+01,4.622894260588e+00
4.638671875000e+01,4.572439351008e+00
4.663085937500e+01,4.527776163334e+00
4.687500000000e+01,4.479028831234e+00
4.711914062500e+01,4.428064464325e+00
4.736328125000e+01,4.382531655214e+00
4.760742187500e+01,4.333496819290e+00
4.785156250000e+01,4.287389115063e+00
4.809570312500e+01,4.243275742092e+00
4.833984375000e+01,4.202716110653e+00
4.858398437500e+01,4.159236627591e+00
4.882812500000e+01,4.115772798979e+00
4.907226562500e+01,4.073039082671e+00
4.931640625000e+01,4.032092880543e+00
4.956054687500e+01,3.987732535307e+00
4.980468750000e+01,3.949205527241e+00
5.004882812500e+01,3.909185817659e+00
5.029296875000e+01,3.869774094730e+00
5.053710937500e+01,3.832604943622e+00
5.078125000000e+01,3.792193946648e+00
5.102539062500e+01,3.755698846289e+00
5.126953125000e+01,3.718378956004e+00
5.151367187500e+01,3.681808474213e+00
5.175781250000e+01,3.647593861350e+00
5.200195312500e+01,3.612122490485e+00
5.224609375000e+01,3.577793298037e+00
5.249023437500e+01,3.543641129637e+00
5.273437500000e+01,3.507944529137e+00
5.297851562500e+01,3.475948341097e+00
5.322265625000e+01,3.445354892467e+00
5.346679687500e+01,3.412602405449e+00
5.371093750000e+01,3.380767189938e+00
5.395507812500e+01,3.349532894660e+00
5.419921875000e+01,3.319049817360e+00
5.444335937500e+01,3.288930505722e+00
5.468750000000e+01,3.257901587238e+00
5.493164062500e+01,3.227111593075e+00
5.517578125000e+01,3.200101554153e+00
5.541992187500e+01,3.170143242380e+00
5.566406250000e+01,3.142336214200e+00
5.590820312500e+01,3.115284080200e+00
5.615234375000e+01,3.086447490463e+00
5.639648437500e+01,3.059203154740e+00
5.664062500000e+01,3.031952197071e+00
5.688476562500e+01,3.005848063674e+00
5.712890625000e+01,2.979400019234e+00
5.737304687500e+01,2.953324274363e+00
5.761718750000e+01,2.929407228293e+00
5.786132812500e+01,2.904283203501e+00
5.810546875000e+01,2.877748283949e+00
5.834960937500e+01,2.853412319747e+00
5.859375000000e+01,2.830893489626e+00
5.883789062500e+01,2.805985359702e+00
5.908203125000e+01,2.781913305378e+00
5.932617187500e+01,2.758637793303e+00
5.957031250000e+01,2.735631962605e+00
5.981445312500e+01,2.713636459228e+00
6.005859375000e+01,2.691881724252e+00
6.030273437500e+01,2.668529772873e+00
6.054687500000e+01,2.647923702832e+00
6.079101562500e+01,2.624941061595e+00
6.103515625000e+01,2.603424346628e+00
6.127929687500e+01,2.583558273982e+00
6.152343750000e+01,2.562056702965e+00
6.176757812500e+01,2.541948716443e+00
6.201171875000e+01,2.521299958568e+00
6.225585937500e+01,2.502077161107e+00
6.250000000000e+01,2.482077692144e+00
6.274414062500e+01,2.462927879037e+00
6.298828125000e+01,2.443067432361e+00
6.323242187500e+01,2.424380529273e+00
6.347656250000e+01,2.406148971270e+00
6.372070312500e+01,2.386571127797e+00
6.396484375000e+01,2.368249007483e+00
6.420898437500e+01,2.349921930989e+00
6.445312500000e+01,2.332463659174e+00
6.469726562500e+01,2.313982566586e+00
6.494140625000e+01,2.296333415821e+00
6.518554687500e+01,2.279362776943e+00
6.542968750000e+01,2.262230215511e+00
6.567382812500e+01,2.244732692792e+00
6.591796875000e+01,2.228834170102e+00
6.616210937500e+01,2.212677125159e+00
6.640625000000e+01,2.196267880997e+00
6.665039062500e+01,2.179783492284e+00
6.689453125000e+01,2.163953009438e+00
6.713867187500e+01,2.147786595698e+00
6.738281250000e+01,2.132532798382e+00
6.762695312500e+01,2.116899937268e+00
6.787109375000e+01,2.101169977281e+00
6.811523437500e+01,2.086551144177e+00
6.835937500000e+01,2.071369113771e+00
6.860351562500e+01,2.056853512979e+00
6.884765625000e+01,2.041778000906e+00
6.909179687500e+01,2.027519622216e+00
6.933593750000e+01,2.012819862387e+00
6.958007812500e+01,1.998769109801e+00
6.982421875000e+01,1.984941397417e+00
7.006835937500e+01,1.970914650472e+00
7.031250000000e+01,1.957381431071e+00
7.055664062500e+01,1.943693701227e+00
7.080078125000e+01,1.930047905602e+00
7.104492187500e+01,1.916750705518e+00
7.128906250000e+01,1.903892923948e+00
7.153320312500e+01,1.890521139637e+00
7.177734375000e+01,1.877907993357e+00
7.202148437500e+01,1.865069134213e+00
7.226562500000e+01,1.852395905273e+00
7.250976562500e+01,1.840057419173e+00
7.275390625000e+01,1.827928630739e+00
7.299804687500e+01,1.815460932041e+00
7.324218750000e+01,1.803491292698e+00
7.348632812500e+01,1.791603841670e+00
7.373046875000e+01,1.779896684524e+00
7.397460937500e+01,1.768233977882e+00
